@RELATION tweets
  @ATTRIBUTE id string
  @ATTRIBUTE date_time DATE "yyyy-MM-dd HH:mm:ss"
  @ATTRIBUTE hashtags string
  @ATTRIBUTE retweet {'y', 'n'}
  @ATTRIBUTE retweet_count numeric
  @ATTRIBUTE followers_count numeric
  @ATTRIBUTE likes numeric
  @ATTRIBUTE text_content string


  @DATA
'970298784898076672',"2018-03-04 14:03:52",'Oscars','y',123,61247,181,"#Oscars2018The night when elitists shove their million dollar lifestyles in our faces &amp; tell us what &amp; how the wo2026 https://t.co/RRxXh44Q1c"
'970298760097124357',"2018-03-04 14:03:46",'Oscars','y',123,61247,181,"#Oscars2018The night when elitists shove their million dollar lifestyles in our faces &amp; tell us what &amp; how the wo2026 https://t.co/RRxXh44Q1c"
'970298745647755266',"2018-03-04 14:03:42",'Oscars','n',5,22907,2,"The Oscars 2018 nominations list in full https://t.co/ESY4oeZOLS https://t.co/M3oq8A9CMY"
'970298703566327808',"2018-03-04 14:03:32",'Oscars','n',0,65,1,"Who is going to win? I have made my prediction. #bestpicture #oscars2018 https://t.co/7eGqEFfj"
'970298695223689216',"2018-03-04 14:03:30",'Oscars','y',123,61247,181,"#Oscars2018The night when elitists shove their million dollar lifestyles in our faces &amp; tell us what &amp; how the wo2026 https://t.co/RRxXh44Q1c"
'970298684851281920',"2018-03-04 14:03:28",'Oscars','y',123,61247,181,"#Oscars2018The night when elitists shove their million dollar lifestyles in our faces &amp; tell us what &amp; how the wo2026 https://t.co/RRxXh44Q1c"
'970298678996033536',"2018-03-04 14:03:27",'Oscars','y',123,61247,181,"#Oscars2018The night when elitists shove their million dollar lifestyles in our faces &amp; tell us what &amp; how the wo2026 https://t.co/RRxXh44Q1c"
'970298661736517633',"2018-03-04 14:03:22",'Oscars','y',16,3014,60,"IT2019S #OSCARS20182019S DAY! d83ddc9b https://t.co/0MgxbJByad"
'970298659958124544',"2018-03-04 14:03:22",'Oscars','n',0,31,0,"Quick to forget easy to praise #Oscars2018 #BoycottOscars https://t.co/Ic740xSbQU"
'970298634230169600',"2018-03-04 14:03:16",'Oscars','y',1,773,2,"Just when you thought it was safe to go back in the water... #WalkLikeAPanther #Oscars Catch @WalkLikePanther in ci2026 https://t.co/w9UrWtGRyU"
'970298623375413248',"2018-03-04 14:03:13",'Oscars','n',0,48410,0,"'The Post' is all about the power of the press, and so is this inspired menu. #Oscars2018 https://t.co/iFJY4VWXEw"
'970298616018620416',"2018-03-04 14:03:11",'Oscars','n',0,1028,0,"I watch the #oscars bc I2019m a media prof and I need to know what happened at this media event. Having said that, I h2026 https://t.co/e1QIH1Hx5v"
'970298606518403072',"2018-03-04 14:03:09",'Oscars','y',7,556,18,"GOOD LUCK! To all of the @CMBYNFilm Tonight! At the #oscars2018 hoping all nominations win!!! @RealChalamet is nomi2026 https://t.co/ArlW4jJ04R"
'970298596515024896',"2018-03-04 14:03:07",'Oscars','n',0,2717,0,"The Best Fashion Moments On Film This Year https://t.co/r2TWh0PRDw#Oscars2018 #fashionbloggers https://t.co/p2r0REaGSU"
'970298596271693824',"2018-03-04 14:03:07",'Oscars','n',0,3098,0,"2488 Brighton2489 #twip248a #SBP101248b Davide Astori248c Status Orange248d #Oscars2018248e #Marian248f #DWTSIrl2490 LIDL2491 Emma Hanni2026 https://t.co/6iPSoolMMY"
